rating_key,title,parent_title,grandparent_title,full_title,parent_media_index,media_index,media_type,studio,started,stopped,seconds,start_time,end_time,,,,,,,,,,,,
24929,Undertaker,Season 1,86: Eighty Six,86: Eighty Six - Undertaker,1,1,episode,Tokyo MX,1619271330,1619272079,749,4/24/21 9:35 AM,4/24/21 9:47 AM,,,,,,,,,,,,
24930,Spearhead,Season 1,86: Eighty Six,86: Eighty Six - Spearhead,1,2,episode,Tokyo MX,1619277711,1619279143,1432,4/24/21 11:21 AM,4/24/21 11:45 AM,,,,,,,,,,,,
25028,I Don't Want to Die,Season 1,86: Eighty Six,86: Eighty Six - I Don't Want to Die,1,3,episode,Tokyo MX,1619285879,1619287805,1926,4/24/21 1:37 PM,4/24/21 2:10 PM,,,,,,,,,,,,
25634,Real Name,Season 1,86: Eighty Six,86: Eighty Six - Real Name,1,4,episode,Tokyo MX,1619907644,1619907795,151,5/1/21 6:20 PM,5/1/21 6:23 PM,,,,,,,,,,,,
25727,I'm With You,Season 1,86: Eighty Six,86: Eighty Six - I'm With You,1,5,episode,Tokyo MX,1620591634,1620593603,1969,5/9/21 4:20 PM,5/9/21 4:53 PM,,,,,,,,,,,,
25747,Through to the End,Season 1,86: Eighty Six,86: Eighty Six - Through to the End,1,6,episode,Tokyo MX,1621112806,1621114428,1622,5/15/21 5:06 PM,5/15/21 5:33 PM,,,,,,,,,,,,
25821,Will You Remember Me?,Season 1,86: Eighty Six,86: Eighty Six - Will You Remember Me?,1,7,episode,Tokyo MX,1621711037,1621712601,1564,5/22/21 3:17 PM,5/22/21 3:43 PM,,,,,,,,,,,,
25943,Let's Go,Season 1,86: Eighty Six,86: Eighty Six - Let's Go,1,8,episode,Tokyo MX,1622323697,1622324965,1268,5/29/21 5:28 PM,5/29/21 5:49 PM,,,,,,,,,,,,
25992,Goodbye,Season 1,86: Eighty Six,86: Eighty Six - Goodbye,1,9,episode,Tokyo MX,1622926485,1622927975,1490,6/5/21 4:54 PM,6/5/21 5:19 PM,,,,,,,,,,,,
26024,Thank You,Season 1,86: Eighty Six,86: Eighty Six - Thank You,1,10,episode,Tokyo MX,1623559230,1623560688,1458,6/13/21 12:40 AM,6/13/21 1:04 AM,,,,,,,,,,,,
26037,Here We Go,Season 1,86: Eighty Six,86: Eighty Six - Here We Go,1,11,episode,Tokyo MX,1624160519,1624162127,1608,6/19/21 11:41 PM,6/20/21 12:08 AM,,,,,,,,,,,,
29232,Welcome,Season 1,86: Eighty Six,86: Eighty Six - Welcome,1,12,episode,A-1 Pictures,1633806030,1633806070,40,10/9/21 3:00 PM,10/9/21 3:01 PM,,,,,,,,,,,,
29237,It's Too Late,Season 1,86: Eighty Six,86: Eighty Six - It's Too Late,1,13,episode,A-1 Pictures,1633896648,1633898113,1465,10/10/21 4:10 PM,10/10/21 4:35 PM,,,,,,,,,,,,
29343,Glad to Be Here,Season 1,86: Eighty Six,86: Eighty Six - Glad to Be Here,1,14,episode,A-1 Pictures,1635130457,1635131753,1296,10/24/21 10:54 PM,10/24/21 11:15 PM,,,,,,,,,,,,
29509,Welcome Back,Season 1,86: Eighty Six,86: Eighty Six - Welcome Back,1,15,episode,A-1 Pictures,1635131762,1635133099,1337,10/24/21 11:16 PM,10/24/21 11:38 PM,,,,,,,,,,,,
30391,Even So,Season 1,86: Eighty Six,86: Eighty Six - Even So,1,16,episode,A-1 Pictures,1636070866,1636072157,1291,11/4/21 8:07 PM,11/4/21 8:29 PM,,,,,,,,,,,,
39151,I Won't Forget,Season 1,86: Eighty Six,86: Eighty Six - I Won't Forget,1,17,episode,A-1 Pictures,1636833612,1636835266,1654,11/13/21 4:00 PM,11/13/21 4:27 PM,,,,,,,,,,,,
40199,The Truth Is,Season 1,86: Eighty Six,86: Eighty Six - The Truth Is,1,18,episode,A-1 Pictures,1637896627,1637898023,1396,11/25/21 11:17 PM,11/25/21 11:40 PM,,,,,,,,,,,,
40336,As It Is,Season 1,86: Eighty Six,86: Eighty Six - As It Is,1,19,episode,A-1 Pictures,1638840359,1638841759,1400,12/6/21 9:25 PM,12/6/21 9:49 PM,,,,,,,,,,,,
40403,Together Unto Death,Season 1,86: Eighty Six,86: Eighty Six - Together Unto Death,1,20,episode,A-1 Pictures,1640133618,1640135161,1543,12/21/21 8:40 PM,12/21/21 9:06 PM,,,,,,,,,,,,
40514,All That's Left,Season 1,86: Eighty Six,86: Eighty Six - All That's Left,1,21,episode,A-1 Pictures,1641087346,1641089291,1945,1/1/22 9:35 PM,1/1/22 10:08 PM,,,,,,,,,,,,
41089,Shin,Season 1,86: Eighty Six,86: Eighty Six - Shin,1,22,episode,A-1 Pictures,1647214134,1647215602,1468,3/13/22 7:28 PM,3/13/22 7:53 PM,,,,,,,,,,,,
41098,Handler One,Season 1,86: Eighty Six,86: Eighty Six - Handler One,1,23,episode,A-1 Pictures,1647735861,1647735896,35,3/19/22 8:24 PM,3/19/22 8:24 PM,,,,,,,,,,,,
27250,A Topic That Has Nothing to Do with Us,Season 1,Ajin,Ajin - A Topic That Has Nothing to Do with Us,1,1,episode,Polygon Pictures,1651712162,1651713650,1488,5/4/22 8:56 PM,5/4/22 9:20 PM,,,,,,,,,,,,
27251,Why Is This Happening to Me? I Didn't Do Anything Wrong!,Season 1,Ajin,Ajin - Why Is This Happening to Me? I Didn't Do Anything Wrong!,1,2,episode,Polygon Pictures,1651713661,1651714978,1317,5/4/22 9:21 PM,5/4/22 9:42 PM,,,,,,,,,,,,
27252,I Think I'm Done For,Season 1,Ajin,Ajin - I Think I'm Done For,1,3,episode,Polygon Pictures,1651715322,1651716949,1627,5/4/22 9:48 PM,5/4/22 10:15 PM,,,,,,,,,,,,
27253,Have You Ever Seen a Black Ghost?,Season 1,Ajin,Ajin - Have You Ever Seen a Black Ghost?,1,4,episode,Polygon Pictures,1651716954,1651718388,1434,5/4/22 10:15 PM,5/4/22 10:39 PM,,,,,,,,,,,,
27254,"But When It Comes Down to It, You Still Want Them to Help You... You're the Worst Kind of Trash...",Season 1,Ajin,"Ajin - But When It Comes Down to It, You Still Want Them to Help You... You're the Worst Kind of Trash...",1,5,episode,Polygon Pictures,1652403502,1652404954,1452,5/12/22 8:58 PM,5/12/22 9:22 PM,,,,,,,,,,,,
27255,I Adore Killing,Season 1,Ajin,Ajin - I Adore Killing,1,6,episode,Polygon Pictures,1652404956,1652406466,1510,5/12/22 9:22 PM,5/12/22 9:47 PM,,,,,,,,,,,,
27256,We Will Cover It All Up!,Season 1,Ajin,Ajin - We Will Cover It All Up!,1,7,episode,Polygon Pictures,1652407588,1652408940,1352,5/12/22 10:06 PM,5/12/22 10:29 PM,,,,,,,,,,,,
27257,Brace for Impact,Season 1,Ajin,Ajin - Brace for Impact,1,8,episode,Polygon Pictures,1652408945,1652410306,1361,5/12/22 10:29 PM,5/12/22 10:51 PM,,,,,,,,,,,,
27258,"Wait, Let's Talk Over This Again",Season 1,Ajin,"Ajin - Wait, Let's Talk Over This Again",1,9,episode,Polygon Pictures,1653526233,1653527693,1460,5/25/22 8:50 PM,5/25/22 9:14 PM,,,,,,,,,,,,
27259,It Starts Decaying the Moment It's Created,Season 1,Ajin,Ajin - It Starts Decaying the Moment It's Created,1,10,episode,Polygon Pictures,1653527699,1653528982,1283,5/25/22 9:14 PM,5/25/22 9:36 PM,,,,,,,,,,,,
27260,"Now Then, It's Showtime",Season 1,Ajin,"Ajin - Now Then, It's Showtime",1,11,episode,Polygon Pictures,1653528988,1653530348,1360,5/25/22 9:36 PM,5/25/22 9:59 PM,,,,,,,,,,,,
27261,"Man, I'm Exhausted",Season 1,Ajin,"Ajin - Man, I'm Exhausted",1,12,episode,Polygon Pictures,1653530360,1653531652,1292,5/25/22 9:59 PM,5/25/22 10:20 PM,,,,,,,,,,,,
27262,"Satō-san, It's Your Fault Everything's Messed Up",Season 1,Ajin,"Ajin - Satō-san, It's Your Fault Everything's Messed Up",1,13,episode,Polygon Pictures,1653531660,1653533254,1594,5/25/22 10:21 PM,5/25/22 10:47 PM,,,,,,,,,,,,
27264,I'm Getting Sick of This,Season 2,Ajin,Ajin - I'm Getting Sick of This,2,1,episode,Polygon Pictures,1654132376,1654133738,1362,6/1/22 9:12 PM,6/1/22 9:35 PM,,,,,,,,,,,,
27265,I'm Surrounded by Idiots,Season 2,Ajin,Ajin - I'm Surrounded by Idiots,2,2,episode,Polygon Pictures,1654133748,1654135236,1488,6/1/22 9:35 PM,6/1/22 10:00 PM,,,,,,,,,,,,
27266,But I'm Always Scared,Season 2,Ajin,Ajin - But I'm Always Scared,2,3,episode,Polygon Pictures,1654135237,1654136527,1290,6/1/22 10:00 PM,6/1/22 10:22 PM,,,,,,,,,,,,
27267,They Make Me Sick,Season 2,Ajin,Ajin - They Make Me Sick,2,4,episode,Polygon Pictures,1654136538,1654137873,1335,6/1/22 10:22 PM,6/1/22 10:44 PM,,,,,,,,,,,,
