rating_key,title,parent_title,grandparent_title,full_title,parent_media_index,media_index,media_type,studio,started,stopped
925,Land Before Swine,Season 1,Gravity Falls,Gravity Falls - Land Before Swine,1,18,episode,Disney XD,1536276992,1536277856
926,Dreamscaperers (1),Season 1,Gravity Falls,Gravity Falls - Dreamscaperers (1),1,19,episode,Disney XD,1536277858,1536279592
927,Gideon Rises (2),Season 1,Gravity Falls,Gravity Falls - Gideon Rises (2),1,20,episode,Disney XD,1536279598,1536281445
922,The Deep End,Season 1,Gravity Falls,Gravity Falls - The Deep End,1,15,episode,Disney XD,1536281770,1536283516
887,Scary-oke,Season 2,Gravity Falls,Gravity Falls - Scary-oke,2,1,episode,Disney XD,1536283945,1536286537
888,Into the Bunker,Season 2,Gravity Falls,Gravity Falls - Into the Bunker,2,2,episode,Disney XD,1536286544,1536287998
889,The Golf War,Season 2,Gravity Falls,Gravity Falls - The Golf War,2,3,episode,Disney XD,1536288004,1536289339
890,Sock Opera,Season 2,Gravity Falls,Gravity Falls - Sock Opera,2,4,episode,Disney XD,1536289344,1536290749
891,Soos and the Real Girl,Season 2,Gravity Falls,Gravity Falls - Soos and the Real Girl,2,5,episode,Disney XD,1536290752,1536292126
892,Little Gift Shop of Horrors,Season 2,Gravity Falls,Gravity Falls - Little Gift Shop of Horrors,2,6,episode,Disney XD,1536292130,1536293575
893,Society of the Blind Eye,Season 2,Gravity Falls,Gravity Falls - Society of the Blind Eye,2,7,episode,Disney XD,1536293582,1536294943
894,Blendin's Game,Season 2,Gravity Falls,Gravity Falls - Blendin's Game,2,8,episode,Disney XD,1536294946,1536296379
895,The Love God,Season 2,Gravity Falls,Gravity Falls - The Love God,2,9,episode,Disney XD,1536296385,1536297705
896,Northwest Mansion Mystery,Season 2,Gravity Falls,Gravity Falls - Northwest Mansion Mystery,2,10,episode,Disney XD,1536297709,1536299136
897,Not What He Seems,Season 2,Gravity Falls,Gravity Falls - Not What He Seems,2,11,episode,Disney XD,1536299139,1536300521
898,A Tale of Two Stans,Season 2,Gravity Falls,Gravity Falls - A Tale of Two Stans,2,12,episode,Disney XD,1536300861,1536302746
899,"Dungeons, Dungeons, & More Dungeons",Season 2,Gravity Falls,"Gravity Falls - Dungeons, Dungeons, & More Dungeons",2,13,episode,Disney XD,1536302749,1536304074
900,The Stanchurian Candidate,Season 2,Gravity Falls,Gravity Falls - The Stanchurian Candidate,2,14,episode,Disney XD,1536304076,1536305416
901,The Last Mabelcorn,Season 2,Gravity Falls,Gravity Falls - The Last Mabelcorn,2,15,episode,Disney XD,1536335358,1536336762
902,Roadside Attraction,Season 2,Gravity Falls,Gravity Falls - Roadside Attraction,2,16,episode,Disney XD,1536338157,1536339559
903,Dipper and Mabel vs. the Future,Season 2,Gravity Falls,Gravity Falls - Dipper and Mabel vs. the Future,2,17,episode,Disney XD,1536339567,1536341704
904,Weirdmageddon (1),Season 2,Gravity Falls,Gravity Falls - Weirdmageddon (1),2,18,episode,Disney XD,1536341705,1536342739
905,Weirdmageddon (2): Escape From Reality,Season 2,Gravity Falls,Gravity Falls - Weirdmageddon (2): Escape From Reality,2,19,episode,Disney XD,1536342750,1536344820
