rating_key,title,parent_title,grandparent_title,full_title,parent_media_index,media_index,media_type,studio,started,stopped,seconds,start_time,end_time
22329,BALL,Season 1,Tower of God,Tower of God - BALL,1,1,episode,BS11,1615001648,1615003146,1498,3/5/21 11:34 PM,3/5/21 11:59 PM,,,,,,,,,,,,
22330,3/400 (Three Four-Hundredths),Season 1,Tower of God,Tower of God - 3/400 (Three Four-Hundredths),1,2,episode,BS11,1615003159,1615004500,1341,3/5/21 11:59 PM,3/6/21 12:21 AM,,,,,,,,,,,,
22345,The Correct Door,Season 1,Tower of God,Tower of God - The Correct Door,1,3,episode,BS11,1615004512,1615005998,1486,3/6/21 12:21 AM,3/6/21 12:46 AM,,,,,,,,,,,,
22346,The Green April,Season 1,Tower of God,Tower of God - The Green April,1,4,episode,BS11,1615597429,1615598824,1395,3/12/21 9:03 PM,3/12/21 9:27 PM,,,,,,,,,,,,
22347,The Crown’s Fate,Season 1,Tower of God,Tower of God - The Crown’s Fate,1,5,episode,BS11,1615598830,1615600121,1291,3/12/21 9:27 PM,3/12/21 9:48 PM,,,,,,,,,,,,
22348,Position Selection,Season 1,Tower of God,Tower of God - Position Selection,1,6,episode,BS11,1615600124,1615601470,1346,3/12/21 9:48 PM,3/12/21 10:11 PM,,,,,,,,,,,,
22349,Lunch and Tag,Season 1,Tower of God,Tower of God - Lunch and Tag,1,7,episode,BS11,1615601480,1615602771,1291,3/12/21 10:11 PM,3/12/21 10:32 PM,,,,,,,,,,,,
22350,Khun’s Strategy,Season 1,Tower of God,Tower of God - Khun’s Strategy,1,8,episode,BS11,1615602790,1615604165,1375,3/12/21 10:33 PM,3/12/21 10:56 PM,,,,,,,,,,,,
22351,The One-Horned Ogre,Season 1,Tower of God,Tower of God - The One-Horned Ogre,1,9,episode,BS11,1615604176,1615605820,1644,3/12/21 10:56 PM,3/12/21 11:23 PM,,,,,,,,,,,,
22352,Beyond the Sadness,Season 1,Tower of God,Tower of God - Beyond the Sadness,1,10,episode,BS11,1615605824,1615607247,1423,3/12/21 11:23 PM,3/12/21 11:47 PM,,,,,,,,,,,,
22353,Underwater Hunt (Part One),Season 1,Tower of God,Tower of God - Underwater Hunt (Part One),1,11,episode,BS11,1616285334,1616286883,1549,3/20/21 8:08 PM,3/20/21 8:34 PM,,,,,,,,,,,,
22354,Underwater Hunt (Part Two),Season 1,Tower of God,Tower of God - Underwater Hunt (Part Two),1,12,episode,BS11,1616286884,1616288291,1407,3/20/21 8:34 PM,3/20/21 8:58 PM,,,,,,,,,,,,
22355,Tower of God,Season 1,Tower of God,Tower of God - Tower of God,1,13,episode,BS11,1616288295,1616289915,1620,3/20/21 8:58 PM,3/20/21 9:25 PM,,,,,,,,,,,,
